facility_id,name,city,state,county,lat,lon,field_office,cbsa_name,cbsa_type,days_midnight,avg_midnight_pop,max_midnight_pop
EPBHSTX,El Paso Behavioral Health System,El Paso,TX,El Paso,31.78063671,-106.4759787,El Paso,"El Paso, TX",Metro,219.0,5.9,18.0
EPCDFTX,El Paso County Detention Facility,El Paso,TX,El Paso,31.75845584,-106.4831359,El Paso,"El Paso, TX",Metro,63.0,0.2,5.0
ELPCOTX,El Paso County Jail (TX),El Paso,TX,El Paso,31.81069299,-106.254221,El Paso,"El Paso, TX",Metro,4.0,0.0,1.0
EPLTATX,El Paso LTAC Hospital,El Paso,TX,El Paso,31.7837106,-106.4741601,El Paso,"El Paso, TX",Metro,122.0,1.0,3.0
EPC,El Paso Service Processing Center,El Paso,TX,El Paso,31.79376201,-106.3692084,El Paso,"El Paso, TX",Metro,365.0,842.3,1060.0
EPCJUVI,El Paso Service Processing Center Juvenile,El Paso,TX,El Paso,31.79376201,-106.3692084,El Paso,"El Paso, TX",Metro,0.0,0.0,0.0
EPSSFTX,El Paso Soft Sided Facility,El Paso,TX,El Paso,31.97015456,-106.3720369,El Paso,"El Paso, TX",Metro,237.0,196.5,1381.0
ELVDFTX,El Valle Detention Facility,Raymondville,TX,Willacy,26.46728403,-97.76164364,Harlingen,"Raymondville, TX",Micro,365.0,860.8,1009.0
ELZICDF,Elizabeth Contract Detention Facility,Elizabeth,NJ,Union,40.66622291,-74.18880208,Newark,"New York-Newark-Jersey City, NY-NJ",Metro,365.0,295.7,407.0
ELMORID,Elmore County Detention Center (Elmore County Jail),Mountain Home,ID,Elmore,43.13685038,-115.6731791,Salt Lake City,"Mountain Home, ID",Micro,279.0,5.5,32.0
EAZ,Eloy Detention Center,Eloy,AZ,Pinal,32.81759501,-111.5223773,Phoenix,"Phoenix-Mesa-Chandler, AZ",Metro,365.0,1355.9,1531.0
EROFCB,Enforcement and Removal Operations El Paso Camp East Montana,El Paso,TX,El Paso,31.811927,-106.2981181,El Paso,"El Paso, TX",Metro,251.0,1355.6,3878.0
HHWHOLD,Enforcement and Removal Operations Honolulu Sub-Office Hold Room,Honolulu,HI,Honolulu,21.29993808,-157.8638846,San Francisco,"Urban Honolulu, HI",Metro,4.0,0.0,1.0
ENLMCCA,Enloe Medical Center,Chico,CA,Butte,39.74216367,-121.8498751,San Francisco,"Chico, CA",Metro,0.0,0.0,0.0
ERICOPA,"Erie County Jail, PA",Erie,PA,Erie,42.123738,-80.06654004,Philadelphia,"Erie, PA",Metro,362.0,18.8,45.0
